id,success_loan,failed_loans,income,nomalized_success_loan,nomalized_failed_loans,nomalized_income,cluster,priority,score,final_priority
424.0,3.0,0.0,250000.0,0.1,0.0,0.035234899328859,0,Low Priority,0.05855844637186888,Low Priority
426.0,1.0,1.0,500000.0,0.0,0.1111111111111111,0.0771812080536912,0,Low Priority,0.02250110791370269,Low Priority
427.0,3.0,0.0,600000.0,0.1,0.0,0.0939597315436241,0,Low Priority,0.19735120152296745,Low Priority
428.0,1.0,0.0,400001.0,0.0,0.0,0.0604028523489932,0,Low Priority,-0.031079415265279825,Low Priority
429.0,1.0,0.0,250000.0,0.0,0.0,0.035234899328859,0,Low Priority,-0.0905624211664796,Low Priority
432.0,1.0,0.0,600000.0,0.0,0.0,0.0939597315436241,0,Low Priority,0.04823033398461901,Low Priority
433.0,1.0,0.0,500000.0,0.0,0.0,0.0771812080536912,0,Low Priority,0.008575261084305091,Low Priority
434.0,3.0,0.0,300000.0,0.1,0.0,0.0436241610738255,0,Low Priority,0.07838598282202594,Low Priority
435.0,1.0,0.0,350000.0,0.0,0.0,0.0520134228187919,0,Low Priority,-0.05090734826616568,Low Priority
436.0,3.0,0.0,250000.0,0.1,0.0,0.035234899328859,0,Low Priority,0.05855844637186888,Low Priority
437.0,1.0,0.0,250000.0,0.0,0.0,0.035234899328859,0,Low Priority,-0.0905624211664796,Low Priority
438.0,1.0,0.0,300000.0,0.0,0.0,0.0436241610738255,0,Low Priority,-0.07073488471632251,Low Priority
439.0,8.0,1.0,400000.0,0.35,0.1111111111111111,0.0604026845637583,1,Medium Priority,0.5047690713976083,Low Priority
440.0,1.0,0.0,300000.0,0.0,0.0,0.0436241610738255,0,Low Priority,-0.07073488471632251,Low Priority
441.0,14.0,1.0,200000.0,0.65,0.1111111111111111,0.0268456375838926,1,Medium Priority,0.8728215282120262,Low Priority
442.0,1.0,0.0,400000.0,0.0,0.0,0.0604026845637583,0,Low Priority,-0.03107981181600883,Low Priority
443.0,1.0,0.0,199999.0,0.0,0.0,0.0268454697986577,0,Low Priority,-0.11039035416736545,Low Priority
445.0,4.0,1.0,300000.0,0.15,0.1111111111111111,0.0436241610738255,0,Low Priority,0.16687226342059777,Low Priority
446.0,1.0,0.0,350000.0,0.0,0.0,0.0520134228187919,0,Low Priority,-0.05090734826616568,Low Priority
447.0,1.0,0.0,500000.0,0.0,0.0,0.0771812080536912,0,Low Priority,0.008575261084305091,Low Priority
448.0,10.0,1.0,400000.0,0.45,0.1111111111111111,0.0604026845637583,1,Medium Priority,0.6538899389359568,Low Priority
450.0,1.0,0.0,300000.0,0.0,0.0,0.0436241610738255,0,Low Priority,-0.07073488471632251,Low Priority
451.0,1.0,0.0,350000.0,0.0,0.0,0.0520134228187919,0,Low Priority,-0.05090734826616568,Low Priority
452.0,2.0,0.0,250000.0,0.05,0.0,0.035234899328859,0,Low Priority,-0.01600198739730538,Low Priority
453.0,4.0,1.0,250000.0,0.15,0.1111111111111111,0.035234899328859,0,Low Priority,0.14704472697044066,Low Priority
454.0,6.0,0.0,420000.0,0.25,0.0,0.0637583892617449,0,Low Priority,0.34965337160992516,Low Priority
455.0,1.0,0.0,250000.0,0.0,0.0,0.035234899328859,0,Low Priority,-0.0905624211664796,Low Priority
456.0,6.0,2.0,700000.0,0.25,0.2222222222222222,0.110738255033557,1,Medium Priority,0.48853926938959935,Low Priority
457.0,1.0,0.0,500000.0,0.0,0.0,0.0771812080536912,0,Low Priority,0.008575261084305091,Low Priority
460.0,3.0,0.0,250000.0,0.1,0.0,0.035234899328859,0,Low Priority,0.05855844637186888,Low Priority
461.0,3.0,0.0,800000.0,0.1,0.0,0.1275167785234899,0,Low Priority,0.27666134732359526,Low Priority
463.0,21.0,1.0,300000.0,1.0,0.1111111111111111,0.0436241610738255,1,Medium Priority,1.4343996374965597,Medium Priority
464.0,1.0,0.0,450000.0,0.0,0.0,0.0687919463087248,0,Low Priority,-0.011252275365851744,Low Priority
465.0,1.0,0.0,250000.0,0.0,0.0,0.035234899328859,0,Low Priority,-0.0905624211664796,Low Priority
469.0,3.0,2.0,500000.0,0.1,0.2222222222222222,0.0771812080536912,0,Low Priority,0.18554782228144875,Low Priority
470.0,6.0,1.0,700000.0,0.25,0.1111111111111111,0.110738255033557,1,Medium Priority,0.47461342256020167,Low Priority
